1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A50000005C341C21
Is Mission Active?  true
Mission Start:  Fri Sep 16 16:21:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3458
Total Samples:  11728
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/18/22, 3:36:00 AM,C,22
9/18/22, 3:51:00 AM,C,22
9/18/22, 4:06:00 AM,C,22
9/18/22, 4:21:00 AM,C,22
9/18/22, 4:36:00 AM,C,22
9/18/22, 4:51:00 AM,C,22
9/18/22, 5:06:00 AM,C,22
9/18/22, 5:21:00 AM,C,22.5
9/18/22, 5:36:00 AM,C,22.5
9/18/22, 5:51:00 AM,C,22.5
9/18/22, 6:06:00 AM,C,22.5
9/18/22, 6:21:00 AM,C,22.5
9/18/22, 6:36:00 AM,C,22.5
9/18/22, 6:51:00 AM,C,22.5
9/18/22, 7:06:00 AM,C,22.5
9/18/22, 7:21:00 AM,C,22.5
9/18/22, 7:36:00 AM,C,22.5
9/18/22, 7:51:00 AM,C,22.5
9/18/22, 8:06:00 AM,C,22.5
9/18/22, 8:21:00 AM,C,22.5
9/18/22, 8:36:00 AM,C,22.5
9/18/22, 8:51:00 AM,C,22.5
9/18/22, 9:06:00 AM,C,22.5
9/18/22, 9:21:00 AM,C,22.5
9/18/22, 9:36:00 AM,C,22.5
9/18/22, 9:51:00 AM,C,22.5
9/18/22, 10:06:00 AM,C,22.5
9/18/22, 10:21:00 AM,C,22.5
9/18/22, 10:36:00 AM,C,22.5
9/18/22, 10:51:00 AM,C,23
9/18/22, 11:06:00 AM,C,23
9/18/22, 11:21:00 AM,C,23
9/18/22, 11:36:00 AM,C,23
9/18/22, 11:51:00 AM,C,23
9/18/22, 12:06:00 PM,C,23
9/18/22, 12:21:00 PM,C,23
9/18/22, 12:36:00 PM,C,23
9/18/22, 12:51:00 PM,C,23
9/18/22, 1:06:00 PM,C,23
9/18/22, 1:21:00 PM,C,23
9/18/22, 1:36:00 PM,C,23
9/18/22, 1:51:00 PM,C,23
9/18/22, 2:06:00 PM,C,23
9/18/22, 2:21:00 PM,C,23
9/18/22, 2:36:00 PM,C,23
9/18/22, 2:51:00 PM,C,23.5
9/18/22, 3:06:00 PM,C,23.5
9/18/22, 3:21:00 PM,C,23.5
9/18/22, 3:36:00 PM,C,23.5
9/18/22, 3:51:00 PM,C,23.5
9/18/22, 4:06:00 PM,C,23.5
9/18/22, 4:21:00 PM,C,23.5
9/18/22, 4:36:00 PM,C,23.5
9/18/22, 4:51:00 PM,C,23.5
9/18/22, 5:06:00 PM,C,23.5
9/18/22, 5:21:00 PM,C,23.5
9/18/22, 5:36:00 PM,C,23.5
9/18/22, 5:51:00 PM,C,23.5
9/18/22, 6:06:00 PM,C,23.5
9/18/22, 6:21:00 PM,C,23.5
9/18/22, 6:36:00 PM,C,23.5
9/18/22, 6:51:00 PM,C,23.5
9/18/22, 7:06:00 PM,C,23.5
9/18/22, 7:21:00 PM,C,23.5
9/18/22, 7:36:00 PM,C,23
9/18/22, 7:51:00 PM,C,23
9/18/22, 8:06:00 PM,C,23
9/18/22, 8:21:00 PM,C,23
9/18/22, 8:36:00 PM,C,23
9/18/22, 8:51:00 PM,C,23
9/18/22, 9:06:00 PM,C,23
9/18/22, 9:21:00 PM,C,23
9/18/22, 9:36:00 PM,C,23
9/18/22, 9:51:00 PM,C,23
9/18/22, 10:06:00 PM,C,23
9/18/22, 10:21:00 PM,C,23
9/18/22, 10:36:00 PM,C,23
9/18/22, 10:51:00 PM,C,23
9/18/22, 11:06:00 PM,C,23
9/18/22, 11:21:00 PM,C,23
9/18/22, 11:36:00 PM,C,23
9/18/22, 11:51:00 PM,C,23
9/19/22, 12:06:00 AM,C,23
9/19/22, 12:21:00 AM,C,23
9/19/22, 12:36:00 AM,C,23
9/19/22, 12:51:00 AM,C,23
9/19/22, 1:06:00 AM,C,23
9/19/22, 1:21:00 AM,C,23
9/19/22, 1:36:00 AM,C,23
9/19/22, 1:51:00 AM,C,23
9/19/22, 2:06:00 AM,C,23
9/19/22, 2:21:00 AM,C,23
9/19/22, 2:36:00 AM,C,23
9/19/22, 2:51:00 AM,C,23
9/19/22, 3:06:00 AM,C,23
9/19/22, 3:21:00 AM,C,23
9/19/22, 3:36:00 AM,C,23
9/19/22, 3:51:00 AM,C,23
9/19/22, 4:06:00 AM,C,23
9/19/22, 4:21:00 AM,C,22.5
9/19/22, 4:36:00 AM,C,22.5
9/19/22, 4:51:00 AM,C,22.5
9/19/22, 5:06:00 AM,C,22.5
9/19/22, 5:21:00 AM,C,22.5
9/19/22, 5:36:00 AM,C,22.5
9/19/22, 5:51:00 AM,C,22.5
9/19/22, 6:06:00 AM,C,22.5
9/19/22, 6:21:00 AM,C,22.5
9/19/22, 6:36:00 AM,C,22.5
9/19/22, 6:51:00 AM,C,22.5
9/19/22, 7:06:00 AM,C,22.5
9/19/22, 7:21:00 AM,C,22.5
9/19/22, 7:36:00 AM,C,22.5
9/19/22, 7:51:00 AM,C,22.5
9/19/22, 8:06:00 AM,C,22.5
9/19/22, 8:21:00 AM,C,22.5
9/19/22, 8:36:00 AM,C,22.5
9/19/22, 8:51:00 AM,C,22.5
9/19/22, 9:06:00 AM,C,22.5
9/19/22, 9:21:00 AM,C,22.5
9/19/22, 9:36:00 AM,C,22.5
9/19/22, 9:51:00 AM,C,22.5
9/19/22, 10:06:00 AM,C,22.5
9/19/22, 10:21:00 AM,C,22.5
9/19/22, 10:36:00 AM,C,22.5
9/19/22, 10:51:00 AM,C,22.5
9/19/22, 11:06:00 AM,C,22.5
9/19/22, 11:21:00 AM,C,22.5
9/19/22, 11:36:00 AM,C,22.5
9/19/22, 11:51:00 AM,C,23
9/19/22, 12:06:00 PM,C,23
9/19/22, 12:21:00 PM,C,23
9/19/22, 12:36:00 PM,C,23
9/19/22, 12:51:00 PM,C,23
9/19/22, 1:06:00 PM,C,23
9/19/22, 1:21:00 PM,C,23
9/19/22, 1:36:00 PM,C,23
9/19/22, 1:51:00 PM,C,23
9/19/22, 2:06:00 PM,C,23
9/19/22, 2:21:00 PM,C,23
9/19/22, 2:36:00 PM,C,23
9/19/22, 2:51:00 PM,C,23.5
9/19/22, 3:06:00 PM,C,23
9/19/22, 3:21:00 PM,C,23
9/19/22, 3:36:00 PM,C,23
9/19/22, 3:51:00 PM,C,23
9/19/22, 4:06:00 PM,C,23
9/19/22, 4:21:00 PM,C,23
9/19/22, 4:36:00 PM,C,23.5
9/19/22, 4:51:00 PM,C,23
9/19/22, 5:06:00 PM,C,23.5
9/19/22, 5:21:00 PM,C,23
9/19/22, 5:36:00 PM,C,23
9/19/22, 5:51:00 PM,C,23
9/19/22, 6:06:00 PM,C,23
9/19/22, 6:21:00 PM,C,23
9/19/22, 6:36:00 PM,C,23
9/19/22, 6:51:00 PM,C,23
9/19/22, 7:06:00 PM,C,23
9/19/22, 7:21:00 PM,C,23
9/19/22, 7:36:00 PM,C,23
9/19/22, 7:51:00 PM,C,23
9/19/22, 8:06:00 PM,C,23
9/19/22, 8:21:00 PM,C,23
9/19/22, 8:36:00 PM,C,23
9/19/22, 8:51:00 PM,C,23
9/19/22, 9:06:00 PM,C,22.5
9/19/22, 9:21:00 PM,C,22.5
9/19/22, 9:36:00 PM,C,22.5
9/19/22, 9:51:00 PM,C,22.5
9/19/22, 10:06:00 PM,C,22.5
9/19/22, 10:21:00 PM,C,22.5
9/19/22, 10:36:00 PM,C,22.5
9/19/22, 10:51:00 PM,C,22.5
9/19/22, 11:06:00 PM,C,22.5
9/19/22, 11:21:00 PM,C,22.5
9/19/22, 11:36:00 PM,C,22.5
9/19/22, 11:51:00 PM,C,22.5
9/20/22, 12:06:00 AM,C,22.5
9/20/22, 12:21:00 AM,C,22.5
9/20/22, 12:36:00 AM,C,22.5
9/20/22, 12:51:00 AM,C,22.5
9/20/22, 1:06:00 AM,C,22.5
9/20/22, 1:21:00 AM,C,22.5
9/20/22, 1:36:00 AM,C,22.5
9/20/22, 1:51:00 AM,C,22.5
9/20/22, 2:06:00 AM,C,22.5
9/20/22, 2:21:00 AM,C,22.5
9/20/22, 2:36:00 AM,C,22.5
9/20/22, 2:51:00 AM,C,22.5
9/20/22, 3:06:00 AM,C,22.5
9/20/22, 3:21:00 AM,C,22.5
9/20/22, 3:36:00 AM,C,22.5
9/20/22, 3:51:00 AM,C,22.5
9/20/22, 4:06:00 AM,C,22.5
9/20/22, 4:21:00 AM,C,22.5
9/20/22, 4:36:00 AM,C,22.5
9/20/22, 4:51:00 AM,C,22.5
9/20/22, 5:06:00 AM,C,22.5
9/20/22, 5:21:00 AM,C,22.5
9/20/22, 5:36:00 AM,C,22.5
9/20/22, 5:51:00 AM,C,22.5
9/20/22, 6:06:00 AM,C,22.5
9/20/22, 6:21:00 AM,C,22.5
9/20/22, 6:36:00 AM,C,22.5
9/20/22, 6:51:00 AM,C,22.5
9/20/22, 7:06:00 AM,C,22.5
9/20/22, 7:21:00 AM,C,22.5
9/20/22, 7:36:00 AM,C,22.5
9/20/22, 7:51:00 AM,C,22.5
9/20/22, 8:06:00 AM,C,22.5
9/20/22, 8:21:00 AM,C,22.5
9/20/22, 8:36:00 AM,C,22.5
9/20/22, 8:51:00 AM,C,22.5
9/20/22, 9:06:00 AM,C,22.5
9/20/22, 9:21:00 AM,C,22.5
9/20/22, 9:36:00 AM,C,22.5
9/20/22, 9:51:00 AM,C,22.5
9/20/22, 10:06:00 AM,C,22.5
9/20/22, 10:21:00 AM,C,22.5
9/20/22, 10:36:00 AM,C,22.5
9/20/22, 10:51:00 AM,C,22.5
9/20/22, 11:06:00 AM,C,22.5
9/20/22, 11:21:00 AM,C,22.5
9/20/22, 11:36:00 AM,C,22.5
9/20/22, 11:51:00 AM,C,22.5
9/20/22, 12:06:00 PM,C,22.5
9/20/22, 12:21:00 PM,C,22.5
9/20/22, 12:36:00 PM,C,22.5
9/20/22, 12:51:00 PM,C,22.5
9/20/22, 1:06:00 PM,C,22.5
9/20/22, 1:21:00 PM,C,22.5
9/20/22, 1:36:00 PM,C,22.5
9/20/22, 1:51:00 PM,C,22.5
9/20/22, 2:06:00 PM,C,22.5
9/20/22, 2:21:00 PM,C,22.5
9/20/22, 2:36:00 PM,C,22.5
9/20/22, 2:51:00 PM,C,22.5
9/20/22, 3:06:00 PM,C,22.5
9/20/22, 3:21:00 PM,C,22.5
9/20/22, 3:36:00 PM,C,22.5
9/20/22, 3:51:00 PM,C,22.5
9/20/22, 4:06:00 PM,C,23
9/20/22, 4:21:00 PM,C,22.5
9/20/22, 4:36:00 PM,C,23
9/20/22, 4:51:00 PM,C,23
9/20/22, 5:06:00 PM,C,23
9/20/22, 5:21:00 PM,C,23
9/20/22, 5:36:00 PM,C,23
9/20/22, 5:51:00 PM,C,23
9/20/22, 6:06:00 PM,C,23
9/20/22, 6:21:00 PM,C,23
9/20/22, 6:36:00 PM,C,23
9/20/22, 6:51:00 PM,C,23
9/20/22, 7:06:00 PM,C,23
9/20/22, 7:21:00 PM,C,22.5
9/20/22, 7:36:00 PM,C,23
9/20/22, 7:51:00 PM,C,22.5
9/20/22, 8:06:00 PM,C,22.5
9/20/22, 8:21:00 PM,C,22.5
9/20/22, 8:36:00 PM,C,22.5
9/20/22, 8:51:00 PM,C,22.5
9/20/22, 9:06:00 PM,C,22.5
9/20/22, 9:21:00 PM,C,22.5
9/20/22, 9:36:00 PM,C,22.5
9/20/22, 9:51:00 PM,C,22.5
9/20/22, 10:06:00 PM,C,22.5
9/20/22, 10:21:00 PM,C,22.5
9/20/22, 10:36:00 PM,C,22.5
9/20/22, 10:51:00 PM,C,22.5
9/20/22, 11:06:00 PM,C,22.5
9/20/22, 11:21:00 PM,C,22.5
9/20/22, 11:36:00 PM,C,22.5
9/20/22, 11:51:00 PM,C,22.5
9/21/22, 12:06:00 AM,C,22.5
9/21/22, 12:21:00 AM,C,22.5
9/21/22, 12:36:00 AM,C,22.5
9/21/22, 12:51:00 AM,C,22.5
9/21/22, 1:06:00 AM,C,22.5
9/21/22, 1:21:00 AM,C,22.5
9/21/22, 1:36:00 AM,C,22.5
9/21/22, 1:51:00 AM,C,22.5
9/21/22, 2:06:00 AM,C,22.5
9/21/22, 2:21:00 AM,C,22.5
9/21/22, 2:36:00 AM,C,22.5
9/21/22, 2:51:00 AM,C,22.5
9/21/22, 3:06:00 AM,C,22.5
9/21/22, 3:21:00 AM,C,22.5
9/21/22, 3:36:00 AM,C,22.5
9/21/22, 3:51:00 AM,C,22.5
9/21/22, 4:06:00 AM,C,22.5
9/21/22, 4:21:00 AM,C,22.5
9/21/22, 4:36:00 AM,C,22.5
9/21/22, 4:51:00 AM,C,22.5
9/21/22, 5:06:00 AM,C,22.5
9/21/22, 5:21:00 AM,C,22.5
9/21/22, 5:36:00 AM,C,22.5
9/21/22, 5:51:00 AM,C,22.5
9/21/22, 6:06:00 AM,C,22.5
9/21/22, 6:21:00 AM,C,22.5
9/21/22, 6:36:00 AM,C,22.5
9/21/22, 6:51:00 AM,C,22.5
9/21/22, 7:06:00 AM,C,22.5
9/21/22, 7:21:00 AM,C,22.5
9/21/22, 7:36:00 AM,C,22.5
9/21/22, 7:51:00 AM,C,22.5
9/21/22, 8:06:00 AM,C,22.5
9/21/22, 8:21:00 AM,C,22.5
9/21/22, 8:36:00 AM,C,22.5
9/21/22, 8:51:00 AM,C,22.5
9/21/22, 9:06:00 AM,C,22.5
9/21/22, 9:21:00 AM,C,22.5
9/21/22, 9:36:00 AM,C,22.5
9/21/22, 9:51:00 AM,C,22.5
9/21/22, 10:06:00 AM,C,22.5
9/21/22, 10:21:00 AM,C,22.5
9/21/22, 10:36:00 AM,C,22.5
9/21/22, 10:51:00 AM,C,22.5
9/21/22, 11:06:00 AM,C,22.5
9/21/22, 11:21:00 AM,C,22.5
9/21/22, 11:36:00 AM,C,22.5
9/21/22, 11:51:00 AM,C,22.5
9/21/22, 12:06:00 PM,C,22.5
9/21/22, 12:21:00 PM,C,22.5
9/21/22, 12:36:00 PM,C,22.5
9/21/22, 12:51:00 PM,C,22.5
9/21/22, 1:06:00 PM,C,22.5
9/21/22, 1:21:00 PM,C,22.5
9/21/22, 1:36:00 PM,C,22.5
9/21/22, 1:51:00 PM,C,22.5
9/21/22, 2:06:00 PM,C,22.5
9/21/22, 2:21:00 PM,C,22.5
9/21/22, 2:36:00 PM,C,22.5
9/21/22, 2:51:00 PM,C,22.5
9/21/22, 3:06:00 PM,C,22.5
9/21/22, 3:21:00 PM,C,22.5
9/21/22, 3:36:00 PM,C,22.5
9/21/22, 3:51:00 PM,C,22.5
9/21/22, 4:06:00 PM,C,22.5
9/21/22, 4:21:00 PM,C,22.5
9/21/22, 4:36:00 PM,C,22.5
9/21/22, 4:51:00 PM,C,22.5
9/21/22, 5:06:00 PM,C,22.5
9/21/22, 5:21:00 PM,C,22.5
9/21/22, 5:36:00 PM,C,22.5
9/21/22, 5:51:00 PM,C,22.5
9/21/22, 6:06:00 PM,C,22.5
9/21/22, 6:21:00 PM,C,22.5
9/21/22, 6:36:00 PM,C,22
9/21/22, 6:51:00 PM,C,22
9/21/22, 7:06:00 PM,C,22
9/21/22, 7:21:00 PM,C,22
9/21/22, 7:36:00 PM,C,22
9/21/22, 7:51:00 PM,C,22
9/21/22, 8:06:00 PM,C,22
9/21/22, 8:21:00 PM,C,22
9/21/22, 8:36:00 PM,C,22
9/21/22, 8:51:00 PM,C,22
9/21/22, 9:06:00 PM,C,22
9/21/22, 9:21:00 PM,C,22
9/21/22, 9:36:00 PM,C,22
9/21/22, 9:51:00 PM,C,22
9/21/22, 10:06:00 PM,C,22
9/21/22, 10:21:00 PM,C,22
9/21/22, 10:36:00 PM,C,22
9/21/22, 10:51:00 PM,C,22
9/21/22, 11:06:00 PM,C,22
9/21/22, 11:21:00 PM,C,22
9/21/22, 11:36:00 PM,C,22
9/21/22, 11:51:00 PM,C,22
9/22/22, 12:06:00 AM,C,22
9/22/22, 12:21:00 AM,C,22
9/22/22, 12:36:00 AM,C,22
9/22/22, 12:51:00 AM,C,22
9/22/22, 1:06:00 AM,C,22
9/22/22, 1:21:00 AM,C,22
9/22/22, 1:36:00 AM,C,22
9/22/22, 1:51:00 AM,C,22
9/22/22, 2:06:00 AM,C,22
9/22/22, 2:21:00 AM,C,22
9/22/22, 2:36:00 AM,C,22
9/22/22, 2:51:00 AM,C,22
9/22/22, 3:06:00 AM,C,22
9/22/22, 3:21:00 AM,C,22
9/22/22, 3:36:00 AM,C,22
9/22/22, 3:51:00 AM,C,22
9/22/22, 4:06:00 AM,C,22
9/22/22, 4:21:00 AM,C,22
9/22/22, 4:36:00 AM,C,22
9/22/22, 4:51:00 AM,C,22
9/22/22, 5:06:00 AM,C,22
9/22/22, 5:21:00 AM,C,22
9/22/22, 5:36:00 AM,C,22
9/22/22, 5:51:00 AM,C,22
9/22/22, 6:06:00 AM,C,22
9/22/22, 6:21:00 AM,C,22
9/22/22, 6:36:00 AM,C,22
9/22/22, 6:51:00 AM,C,22
9/22/22, 7:06:00 AM,C,22
9/22/22, 7:21:00 AM,C,22
9/22/22, 7:36:00 AM,C,22
9/22/22, 7:51:00 AM,C,22
9/22/22, 8:06:00 AM,C,22
9/22/22, 8:21:00 AM,C,22
9/22/22, 8:36:00 AM,C,22
9/22/22, 8:51:00 AM,C,22
9/22/22, 9:06:00 AM,C,22
9/22/22, 9:21:00 AM,C,22
9/22/22, 9:36:00 AM,C,22
9/22/22, 9:51:00 AM,C,22
9/22/22, 10:06:00 AM,C,22
9/22/22, 10:21:00 AM,C,22
9/22/22, 10:36:00 AM,C,22
9/22/22, 10:51:00 AM,C,22
9/22/22, 11:06:00 AM,C,22
9/22/22, 11:21:00 AM,C,22
9/22/22, 11:36:00 AM,C,22
9/22/22, 11:51:00 AM,C,22
9/22/22, 12:06:00 PM,C,22
9/22/22, 12:21:00 PM,C,22
9/22/22, 12:36:00 PM,C,22
9/22/22, 12:51:00 PM,C,22
9/22/22, 1:06:00 PM,C,22.5
9/22/22, 1:21:00 PM,C,22.5
9/22/22, 1:36:00 PM,C,22.5
9/22/22, 1:51:00 PM,C,22.5
9/22/22, 2:06:00 PM,C,22.5
9/22/22, 2:21:00 PM,C,22.5
9/22/22, 2:36:00 PM,C,22.5
9/22/22, 2:51:00 PM,C,22.5
9/22/22, 3:06:00 PM,C,22.5
9/22/22, 3:21:00 PM,C,22.5
9/22/22, 3:36:00 PM,C,22.5
9/22/22, 3:51:00 PM,C,22.5
9/22/22, 4:06:00 PM,C,22.5
9/22/22, 4:21:00 PM,C,22.5
9/22/22, 4:36:00 PM,C,22.5
9/22/22, 4:51:00 PM,C,22.5
9/22/22, 5:06:00 PM,C,22.5
9/22/22, 5:21:00 PM,C,22.5
9/22/22, 5:36:00 PM,C,22.5
9/22/22, 5:51:00 PM,C,22.5
9/22/22, 6:06:00 PM,C,22.5
9/22/22, 6:21:00 PM,C,22.5
9/22/22, 6:36:00 PM,C,22.5
9/22/22, 6:51:00 PM,C,22.5
9/22/22, 7:06:00 PM,C,22.5
9/22/22, 7:21:00 PM,C,22
9/22/22, 7:36:00 PM,C,22
9/22/22, 7:51:00 PM,C,22
9/22/22, 8:06:00 PM,C,22
9/22/22, 8:21:00 PM,C,22
9/22/22, 8:36:00 PM,C,22
9/22/22, 8:51:00 PM,C,22
9/22/22, 9:06:00 PM,C,22
9/22/22, 9:21:00 PM,C,22
9/22/22, 9:36:00 PM,C,22
9/22/22, 9:51:00 PM,C,22
9/22/22, 10:06:00 PM,C,22
9/22/22, 10:21:00 PM,C,22
9/22/22, 10:36:00 PM,C,22
9/22/22, 10:51:00 PM,C,22
9/22/22, 11:06:00 PM,C,21.5
9/22/22, 11:21:00 PM,C,22
9/22/22, 11:36:00 PM,C,21.5
9/22/22, 11:51:00 PM,C,21.5
9/23/22, 12:06:00 AM,C,21.5
9/23/22, 12:21:00 AM,C,21.5
9/23/22, 12:36:00 AM,C,21.5
9/23/22, 12:51:00 AM,C,21.5
9/23/22, 1:06:00 AM,C,21.5
9/23/22, 1:21:00 AM,C,21.5
9/23/22, 1:36:00 AM,C,21.5
9/23/22, 1:51:00 AM,C,21.5
9/23/22, 2:06:00 AM,C,21.5
9/23/22, 2:21:00 AM,C,21.5
9/23/22, 2:36:00 AM,C,21.5
9/23/22, 2:51:00 AM,C,21.5
9/23/22, 3:06:00 AM,C,21.5
9/23/22, 3:21:00 AM,C,21.5
9/23/22, 3:36:00 AM,C,21.5
9/23/22, 3:51:00 AM,C,21.5
9/23/22, 4:06:00 AM,C,21.5
9/23/22, 4:21:00 AM,C,21.5
9/23/22, 4:36:00 AM,C,21.5
9/23/22, 4:51:00 AM,C,21.5
9/23/22, 5:06:00 AM,C,21.5
9/23/22, 5:21:00 AM,C,21.5
9/23/22, 5:36:00 AM,C,21.5
9/23/22, 5:51:00 AM,C,21.5
9/23/22, 6:06:00 AM,C,21.5
9/23/22, 6:21:00 AM,C,21.5
9/23/22, 6:36:00 AM,C,21.5
9/23/22, 6:51:00 AM,C,21.5
9/23/22, 7:06:00 AM,C,21.5
9/23/22, 7:21:00 AM,C,21.5
9/23/22, 7:36:00 AM,C,21.5
9/23/22, 7:51:00 AM,C,21.5
