1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BD0000005C021C21
Is Mission Active?  true
Mission Start:  Fri Sep 16 16:31:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  3457
Total Samples:  11726
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/18/22, 3:31:00 AM,C,23.5
9/18/22, 3:46:00 AM,C,23.5
9/18/22, 4:01:00 AM,C,23.5
9/18/22, 4:16:00 AM,C,23.5
9/18/22, 4:31:00 AM,C,23.5
9/18/22, 4:46:00 AM,C,23.5
9/18/22, 5:01:00 AM,C,24
9/18/22, 5:16:00 AM,C,24
9/18/22, 5:31:00 AM,C,24
9/18/22, 5:46:00 AM,C,24
9/18/22, 6:01:00 AM,C,24
9/18/22, 6:16:00 AM,C,24
9/18/22, 6:31:00 AM,C,24
9/18/22, 6:46:00 AM,C,24
9/18/22, 7:01:00 AM,C,24
9/18/22, 7:16:00 AM,C,24
9/18/22, 7:31:00 AM,C,24
9/18/22, 7:46:00 AM,C,24
9/18/22, 8:01:00 AM,C,24.5
9/18/22, 8:16:00 AM,C,24.5
9/18/22, 8:31:00 AM,C,24.5
9/18/22, 8:46:00 AM,C,24.5
9/18/22, 9:01:00 AM,C,24.5
9/18/22, 9:16:00 AM,C,25
9/18/22, 9:31:00 AM,C,25
9/18/22, 9:46:00 AM,C,25.5
9/18/22, 10:01:00 AM,C,25.5
9/18/22, 10:16:00 AM,C,26
9/18/22, 10:31:00 AM,C,26
9/18/22, 10:46:00 AM,C,26
9/18/22, 11:01:00 AM,C,26
9/18/22, 11:16:00 AM,C,26.5
9/18/22, 11:31:00 AM,C,26.5
9/18/22, 11:46:00 AM,C,26.5
9/18/22, 12:01:00 PM,C,26.5
9/18/22, 12:16:00 PM,C,27
9/18/22, 12:31:00 PM,C,27
9/18/22, 12:46:00 PM,C,27
9/18/22, 1:01:00 PM,C,27
9/18/22, 1:16:00 PM,C,27
9/18/22, 1:31:00 PM,C,27
9/18/22, 1:46:00 PM,C,27
9/18/22, 2:01:00 PM,C,27.5
9/18/22, 2:16:00 PM,C,27
9/18/22, 2:31:00 PM,C,27
9/18/22, 2:46:00 PM,C,27
9/18/22, 3:01:00 PM,C,27
9/18/22, 3:16:00 PM,C,27
9/18/22, 3:31:00 PM,C,27
9/18/22, 3:46:00 PM,C,27
9/18/22, 4:01:00 PM,C,27
9/18/22, 4:16:00 PM,C,26.5
9/18/22, 4:31:00 PM,C,26.5
9/18/22, 4:46:00 PM,C,26
9/18/22, 5:01:00 PM,C,25.5
9/18/22, 5:16:00 PM,C,26
9/18/22, 5:31:00 PM,C,25.5
9/18/22, 5:46:00 PM,C,25.5
9/18/22, 6:01:00 PM,C,25.5
9/18/22, 6:16:00 PM,C,25.5
9/18/22, 6:31:00 PM,C,25
9/18/22, 6:46:00 PM,C,25
9/18/22, 7:01:00 PM,C,25
9/18/22, 7:16:00 PM,C,25
9/18/22, 7:31:00 PM,C,25
9/18/22, 7:46:00 PM,C,25
9/18/22, 8:01:00 PM,C,25
9/18/22, 8:16:00 PM,C,25
9/18/22, 8:31:00 PM,C,25
9/18/22, 8:46:00 PM,C,25
9/18/22, 9:01:00 PM,C,24.5
9/18/22, 9:16:00 PM,C,24.5
9/18/22, 9:31:00 PM,C,24.5
9/18/22, 9:46:00 PM,C,24.5
9/18/22, 10:01:00 PM,C,24.5
9/18/22, 10:16:00 PM,C,24.5
9/18/22, 10:31:00 PM,C,24.5
9/18/22, 10:46:00 PM,C,24.5
9/18/22, 11:01:00 PM,C,24.5
9/18/22, 11:16:00 PM,C,24.5
9/18/22, 11:31:00 PM,C,24.5
9/18/22, 11:46:00 PM,C,24.5
9/19/22, 12:01:00 AM,C,24
9/19/22, 12:16:00 AM,C,24.5
9/19/22, 12:31:00 AM,C,24.5
9/19/22, 12:46:00 AM,C,24.5
9/19/22, 1:01:00 AM,C,24.5
9/19/22, 1:16:00 AM,C,24.5
9/19/22, 1:31:00 AM,C,24.5
9/19/22, 1:46:00 AM,C,24.5
9/19/22, 2:01:00 AM,C,24.5
9/19/22, 2:16:00 AM,C,24.5
9/19/22, 2:31:00 AM,C,24.5
9/19/22, 2:46:00 AM,C,24.5
9/19/22, 3:01:00 AM,C,24.5
9/19/22, 3:16:00 AM,C,23.5
9/19/22, 3:31:00 AM,C,23
9/19/22, 3:46:00 AM,C,23
9/19/22, 4:01:00 AM,C,22.5
9/19/22, 4:16:00 AM,C,22.5
9/19/22, 4:31:00 AM,C,22.5
9/19/22, 4:46:00 AM,C,22.5
9/19/22, 5:01:00 AM,C,22.5
9/19/22, 5:16:00 AM,C,22.5
9/19/22, 5:31:00 AM,C,22.5
9/19/22, 5:46:00 AM,C,22.5
9/19/22, 6:01:00 AM,C,22
9/19/22, 6:16:00 AM,C,22
9/19/22, 6:31:00 AM,C,22
9/19/22, 6:46:00 AM,C,22.5
9/19/22, 7:01:00 AM,C,22.5
9/19/22, 7:16:00 AM,C,22.5
9/19/22, 7:31:00 AM,C,22.5
9/19/22, 7:46:00 AM,C,22.5
9/19/22, 8:01:00 AM,C,23
9/19/22, 8:16:00 AM,C,23
9/19/22, 8:31:00 AM,C,23
9/19/22, 8:46:00 AM,C,23
9/19/22, 9:01:00 AM,C,23.5
9/19/22, 9:16:00 AM,C,23.5
9/19/22, 9:31:00 AM,C,24
9/19/22, 9:46:00 AM,C,24
9/19/22, 10:01:00 AM,C,24
9/19/22, 10:16:00 AM,C,24
9/19/22, 10:31:00 AM,C,24.5
9/19/22, 10:46:00 AM,C,24.5
9/19/22, 11:01:00 AM,C,24.5
9/19/22, 11:16:00 AM,C,25
9/19/22, 11:31:00 AM,C,25
9/19/22, 11:46:00 AM,C,25
9/19/22, 12:01:00 PM,C,25.5
9/19/22, 12:16:00 PM,C,25.5
9/19/22, 12:31:00 PM,C,25.5
9/19/22, 12:46:00 PM,C,25.5
9/19/22, 1:01:00 PM,C,26
9/19/22, 1:16:00 PM,C,26
9/19/22, 1:31:00 PM,C,26
9/19/22, 1:46:00 PM,C,26
9/19/22, 2:01:00 PM,C,26
9/19/22, 2:16:00 PM,C,26
9/19/22, 2:31:00 PM,C,26
9/19/22, 2:46:00 PM,C,26
9/19/22, 3:01:00 PM,C,25
9/19/22, 3:16:00 PM,C,25
9/19/22, 3:31:00 PM,C,24.5
9/19/22, 3:46:00 PM,C,24.5
9/19/22, 4:01:00 PM,C,24.5
9/19/22, 4:16:00 PM,C,25
9/19/22, 4:31:00 PM,C,25
9/19/22, 4:46:00 PM,C,25
9/19/22, 5:01:00 PM,C,25
9/19/22, 5:16:00 PM,C,25
9/19/22, 5:31:00 PM,C,25
9/19/22, 5:46:00 PM,C,24.5
9/19/22, 6:01:00 PM,C,24.5
9/19/22, 6:16:00 PM,C,24
9/19/22, 6:31:00 PM,C,24
9/19/22, 6:46:00 PM,C,23.5
9/19/22, 7:01:00 PM,C,23.5
9/19/22, 7:16:00 PM,C,23
9/19/22, 7:31:00 PM,C,23
9/19/22, 7:46:00 PM,C,23
9/19/22, 8:01:00 PM,C,23
9/19/22, 8:16:00 PM,C,23
9/19/22, 8:31:00 PM,C,23
9/19/22, 8:46:00 PM,C,23
9/19/22, 9:01:00 PM,C,22.5
9/19/22, 9:16:00 PM,C,22.5
9/19/22, 9:31:00 PM,C,23
9/19/22, 9:46:00 PM,C,23
9/19/22, 10:01:00 PM,C,22.5
9/19/22, 10:16:00 PM,C,23
9/19/22, 10:31:00 PM,C,22.5
9/19/22, 10:46:00 PM,C,22.5
9/19/22, 11:01:00 PM,C,22.5
9/19/22, 11:16:00 PM,C,23
9/19/22, 11:31:00 PM,C,23
9/19/22, 11:46:00 PM,C,23
9/20/22, 12:01:00 AM,C,23
9/20/22, 12:16:00 AM,C,23
9/20/22, 12:31:00 AM,C,23
9/20/22, 12:46:00 AM,C,23
9/20/22, 1:01:00 AM,C,23
9/20/22, 1:16:00 AM,C,23
9/20/22, 1:31:00 AM,C,23
9/20/22, 1:46:00 AM,C,23
9/20/22, 2:01:00 AM,C,23
9/20/22, 2:16:00 AM,C,23
9/20/22, 2:31:00 AM,C,23
9/20/22, 2:46:00 AM,C,23
9/20/22, 3:01:00 AM,C,23
9/20/22, 3:16:00 AM,C,23
9/20/22, 3:31:00 AM,C,23
9/20/22, 3:46:00 AM,C,23
9/20/22, 4:01:00 AM,C,23.5
9/20/22, 4:16:00 AM,C,23.5
9/20/22, 4:31:00 AM,C,23.5
9/20/22, 4:46:00 AM,C,23.5
9/20/22, 5:01:00 AM,C,23.5
9/20/22, 5:16:00 AM,C,23.5
9/20/22, 5:31:00 AM,C,23.5
9/20/22, 5:46:00 AM,C,23.5
9/20/22, 6:01:00 AM,C,23.5
9/20/22, 6:16:00 AM,C,23
9/20/22, 6:31:00 AM,C,23
9/20/22, 6:46:00 AM,C,23
9/20/22, 7:01:00 AM,C,23
9/20/22, 7:16:00 AM,C,23.5
9/20/22, 7:31:00 AM,C,23.5
9/20/22, 7:46:00 AM,C,23.5
9/20/22, 8:01:00 AM,C,23.5
9/20/22, 8:16:00 AM,C,23.5
9/20/22, 8:31:00 AM,C,24
9/20/22, 8:46:00 AM,C,24
9/20/22, 9:01:00 AM,C,24
9/20/22, 9:16:00 AM,C,24
9/20/22, 9:31:00 AM,C,24
9/20/22, 9:46:00 AM,C,24.5
9/20/22, 10:01:00 AM,C,24.5
9/20/22, 10:16:00 AM,C,24.5
9/20/22, 10:31:00 AM,C,24.5
9/20/22, 10:46:00 AM,C,24.5
9/20/22, 11:01:00 AM,C,24.5
9/20/22, 11:16:00 AM,C,24.5
9/20/22, 11:31:00 AM,C,24.5
9/20/22, 11:46:00 AM,C,24
9/20/22, 12:01:00 PM,C,23.5
9/20/22, 12:16:00 PM,C,23.5
9/20/22, 12:31:00 PM,C,23.5
9/20/22, 12:46:00 PM,C,23
9/20/22, 1:01:00 PM,C,23
9/20/22, 1:16:00 PM,C,23
9/20/22, 1:31:00 PM,C,23
9/20/22, 1:46:00 PM,C,23.5
9/20/22, 2:01:00 PM,C,24
9/20/22, 2:16:00 PM,C,24
9/20/22, 2:31:00 PM,C,24.5
9/20/22, 2:46:00 PM,C,24.5
9/20/22, 3:01:00 PM,C,24.5
9/20/22, 3:16:00 PM,C,24.5
9/20/22, 3:31:00 PM,C,24.5
9/20/22, 3:46:00 PM,C,24.5
9/20/22, 4:01:00 PM,C,24.5
9/20/22, 4:16:00 PM,C,24.5
9/20/22, 4:31:00 PM,C,24.5
9/20/22, 4:46:00 PM,C,24.5
9/20/22, 5:01:00 PM,C,24.5
9/20/22, 5:16:00 PM,C,24.5
9/20/22, 5:31:00 PM,C,24
9/20/22, 5:46:00 PM,C,24
9/20/22, 6:01:00 PM,C,24
9/20/22, 6:16:00 PM,C,24
9/20/22, 6:31:00 PM,C,24
9/20/22, 6:46:00 PM,C,24
9/20/22, 7:01:00 PM,C,23.5
9/20/22, 7:16:00 PM,C,23.5
9/20/22, 7:31:00 PM,C,23.5
9/20/22, 7:46:00 PM,C,23.5
9/20/22, 8:01:00 PM,C,23.5
9/20/22, 8:16:00 PM,C,23.5
9/20/22, 8:31:00 PM,C,23.5
9/20/22, 8:46:00 PM,C,23.5
9/20/22, 9:01:00 PM,C,23.5
9/20/22, 9:16:00 PM,C,23.5
9/20/22, 9:31:00 PM,C,23.5
9/20/22, 9:46:00 PM,C,23.5
9/20/22, 10:01:00 PM,C,23.5
9/20/22, 10:16:00 PM,C,23.5
9/20/22, 10:31:00 PM,C,23.5
9/20/22, 10:46:00 PM,C,23.5
9/20/22, 11:01:00 PM,C,23.5
9/20/22, 11:16:00 PM,C,23.5
9/20/22, 11:31:00 PM,C,23.5
9/20/22, 11:46:00 PM,C,23.5
9/21/22, 12:01:00 AM,C,23.5
9/21/22, 12:16:00 AM,C,23.5
9/21/22, 12:31:00 AM,C,23.5
9/21/22, 12:46:00 AM,C,23.5
9/21/22, 1:01:00 AM,C,23.5
9/21/22, 1:16:00 AM,C,23.5
9/21/22, 1:31:00 AM,C,23.5
9/21/22, 1:46:00 AM,C,23.5
9/21/22, 2:01:00 AM,C,23.5
9/21/22, 2:16:00 AM,C,23.5
9/21/22, 2:31:00 AM,C,23
9/21/22, 2:46:00 AM,C,23
9/21/22, 3:01:00 AM,C,23
9/21/22, 3:16:00 AM,C,23
9/21/22, 3:31:00 AM,C,23
9/21/22, 3:46:00 AM,C,23
9/21/22, 4:01:00 AM,C,23
9/21/22, 4:16:00 AM,C,23
9/21/22, 4:31:00 AM,C,23
9/21/22, 4:46:00 AM,C,23
9/21/22, 5:01:00 AM,C,23
9/21/22, 5:16:00 AM,C,23
9/21/22, 5:31:00 AM,C,23
9/21/22, 5:46:00 AM,C,23
9/21/22, 6:01:00 AM,C,23
9/21/22, 6:16:00 AM,C,23
9/21/22, 6:31:00 AM,C,23
9/21/22, 6:46:00 AM,C,23
9/21/22, 7:01:00 AM,C,23
9/21/22, 7:16:00 AM,C,23
9/21/22, 7:31:00 AM,C,23
9/21/22, 7:46:00 AM,C,23
9/21/22, 8:01:00 AM,C,23
9/21/22, 8:16:00 AM,C,23
9/21/22, 8:31:00 AM,C,23
9/21/22, 8:46:00 AM,C,23
9/21/22, 9:01:00 AM,C,23
9/21/22, 9:16:00 AM,C,23
9/21/22, 9:31:00 AM,C,23
9/21/22, 9:46:00 AM,C,23
9/21/22, 10:01:00 AM,C,23
9/21/22, 10:16:00 AM,C,23
9/21/22, 10:31:00 AM,C,23
9/21/22, 10:46:00 AM,C,23
9/21/22, 11:01:00 AM,C,23
9/21/22, 11:16:00 AM,C,23
9/21/22, 11:31:00 AM,C,23
9/21/22, 11:46:00 AM,C,23.5
9/21/22, 12:01:00 PM,C,23.5
9/21/22, 12:16:00 PM,C,23.5
9/21/22, 12:31:00 PM,C,23.5
9/21/22, 12:46:00 PM,C,23.5
9/21/22, 1:01:00 PM,C,23.5
9/21/22, 1:16:00 PM,C,23.5
9/21/22, 1:31:00 PM,C,24
9/21/22, 1:46:00 PM,C,23.5
9/21/22, 2:01:00 PM,C,23.5
9/21/22, 2:16:00 PM,C,23.5
9/21/22, 2:31:00 PM,C,23.5
9/21/22, 2:46:00 PM,C,23.5
9/21/22, 3:01:00 PM,C,23.5
9/21/22, 3:16:00 PM,C,23
9/21/22, 3:31:00 PM,C,23.5
9/21/22, 3:46:00 PM,C,23
9/21/22, 4:01:00 PM,C,23
9/21/22, 4:16:00 PM,C,23
9/21/22, 4:31:00 PM,C,22.5
9/21/22, 4:46:00 PM,C,23
9/21/22, 5:01:00 PM,C,22.5
9/21/22, 5:16:00 PM,C,22.5
9/21/22, 5:31:00 PM,C,22.5
9/21/22, 5:46:00 PM,C,22.5
9/21/22, 6:01:00 PM,C,22.5
9/21/22, 6:16:00 PM,C,22.5
9/21/22, 6:31:00 PM,C,22.5
9/21/22, 6:46:00 PM,C,22.5
9/21/22, 7:01:00 PM,C,22.5
9/21/22, 7:16:00 PM,C,22.5
9/21/22, 7:31:00 PM,C,22
9/21/22, 7:46:00 PM,C,22
9/21/22, 8:01:00 PM,C,22
9/21/22, 8:16:00 PM,C,22
9/21/22, 8:31:00 PM,C,22
9/21/22, 8:46:00 PM,C,22
9/21/22, 9:01:00 PM,C,22
9/21/22, 9:16:00 PM,C,22
9/21/22, 9:31:00 PM,C,22
9/21/22, 9:46:00 PM,C,22
9/21/22, 10:01:00 PM,C,22
9/21/22, 10:16:00 PM,C,22
9/21/22, 10:31:00 PM,C,22
9/21/22, 10:46:00 PM,C,22
9/21/22, 11:01:00 PM,C,22
9/21/22, 11:16:00 PM,C,22
9/21/22, 11:31:00 PM,C,22
9/21/22, 11:46:00 PM,C,22
9/22/22, 12:01:00 AM,C,22
9/22/22, 12:16:00 AM,C,22
9/22/22, 12:31:00 AM,C,22
9/22/22, 12:46:00 AM,C,22
9/22/22, 1:01:00 AM,C,22
9/22/22, 1:16:00 AM,C,22
9/22/22, 1:31:00 AM,C,22
9/22/22, 1:46:00 AM,C,22
9/22/22, 2:01:00 AM,C,22
9/22/22, 2:16:00 AM,C,22
9/22/22, 2:31:00 AM,C,22
9/22/22, 2:46:00 AM,C,22.5
9/22/22, 3:01:00 AM,C,22.5
9/22/22, 3:16:00 AM,C,22.5
9/22/22, 3:31:00 AM,C,22.5
9/22/22, 3:46:00 AM,C,22.5
9/22/22, 4:01:00 AM,C,22.5
9/22/22, 4:16:00 AM,C,22.5
9/22/22, 4:31:00 AM,C,22.5
9/22/22, 4:46:00 AM,C,22.5
9/22/22, 5:01:00 AM,C,22.5
9/22/22, 5:16:00 AM,C,22.5
9/22/22, 5:31:00 AM,C,22
9/22/22, 5:46:00 AM,C,22
9/22/22, 6:01:00 AM,C,22
9/22/22, 6:16:00 AM,C,22
9/22/22, 6:31:00 AM,C,22
9/22/22, 6:46:00 AM,C,22
9/22/22, 7:01:00 AM,C,22
9/22/22, 7:16:00 AM,C,22
9/22/22, 7:31:00 AM,C,22
9/22/22, 7:46:00 AM,C,22
9/22/22, 8:01:00 AM,C,22.5
9/22/22, 8:16:00 AM,C,22.5
9/22/22, 8:31:00 AM,C,22.5
9/22/22, 8:46:00 AM,C,22.5
9/22/22, 9:01:00 AM,C,22.5
9/22/22, 9:16:00 AM,C,23
9/22/22, 9:31:00 AM,C,23
9/22/22, 9:46:00 AM,C,23
9/22/22, 10:01:00 AM,C,23
9/22/22, 10:16:00 AM,C,23.5
9/22/22, 10:31:00 AM,C,23.5
9/22/22, 10:46:00 AM,C,23.5
9/22/22, 11:01:00 AM,C,24
9/22/22, 11:16:00 AM,C,24
9/22/22, 11:31:00 AM,C,24
9/22/22, 11:46:00 AM,C,24.5
9/22/22, 12:01:00 PM,C,24.5
9/22/22, 12:16:00 PM,C,24.5
9/22/22, 12:31:00 PM,C,24.5
9/22/22, 12:46:00 PM,C,24.5
9/22/22, 1:01:00 PM,C,25
9/22/22, 1:16:00 PM,C,25
9/22/22, 1:31:00 PM,C,25
9/22/22, 1:46:00 PM,C,25
9/22/22, 2:01:00 PM,C,25
9/22/22, 2:16:00 PM,C,25
9/22/22, 2:31:00 PM,C,25
9/22/22, 2:46:00 PM,C,25
9/22/22, 3:01:00 PM,C,25
9/22/22, 3:16:00 PM,C,25
9/22/22, 3:31:00 PM,C,25
9/22/22, 3:46:00 PM,C,25
9/22/22, 4:01:00 PM,C,24.5
9/22/22, 4:16:00 PM,C,24.5
9/22/22, 4:31:00 PM,C,24.5
9/22/22, 4:46:00 PM,C,24.5
9/22/22, 5:01:00 PM,C,24
9/22/22, 5:16:00 PM,C,24
9/22/22, 5:31:00 PM,C,24
9/22/22, 5:46:00 PM,C,23.5
9/22/22, 6:01:00 PM,C,23.5
9/22/22, 6:16:00 PM,C,23.5
9/22/22, 6:31:00 PM,C,23
9/22/22, 6:46:00 PM,C,23
9/22/22, 7:01:00 PM,C,23
9/22/22, 7:16:00 PM,C,22.5
9/22/22, 7:31:00 PM,C,22.5
9/22/22, 7:46:00 PM,C,22.5
9/22/22, 8:01:00 PM,C,22.5
9/22/22, 8:16:00 PM,C,22.5
9/22/22, 8:31:00 PM,C,22.5
9/22/22, 8:46:00 PM,C,22
9/22/22, 9:01:00 PM,C,22
9/22/22, 9:16:00 PM,C,22
9/22/22, 9:31:00 PM,C,22
9/22/22, 9:46:00 PM,C,22
9/22/22, 10:01:00 PM,C,22
9/22/22, 10:16:00 PM,C,22
9/22/22, 10:31:00 PM,C,22
9/22/22, 10:46:00 PM,C,22
9/22/22, 11:01:00 PM,C,22
9/22/22, 11:16:00 PM,C,22
9/22/22, 11:31:00 PM,C,22
9/22/22, 11:46:00 PM,C,22
9/23/22, 12:01:00 AM,C,22
9/23/22, 12:16:00 AM,C,22
9/23/22, 12:31:00 AM,C,22
9/23/22, 12:46:00 AM,C,22
9/23/22, 1:01:00 AM,C,22
9/23/22, 1:16:00 AM,C,22
9/23/22, 1:31:00 AM,C,22
9/23/22, 1:46:00 AM,C,22
9/23/22, 2:01:00 AM,C,22
9/23/22, 2:16:00 AM,C,22
9/23/22, 2:31:00 AM,C,22
9/23/22, 2:46:00 AM,C,22
9/23/22, 3:01:00 AM,C,22
9/23/22, 3:16:00 AM,C,22
9/23/22, 3:31:00 AM,C,22
9/23/22, 3:46:00 AM,C,22
9/23/22, 4:01:00 AM,C,22
9/23/22, 4:16:00 AM,C,22
9/23/22, 4:31:00 AM,C,22
9/23/22, 4:46:00 AM,C,22
9/23/22, 5:01:00 AM,C,22
9/23/22, 5:16:00 AM,C,22
9/23/22, 5:31:00 AM,C,22
9/23/22, 5:46:00 AM,C,22
9/23/22, 6:01:00 AM,C,22
9/23/22, 6:16:00 AM,C,22
9/23/22, 6:31:00 AM,C,22
9/23/22, 6:46:00 AM,C,22
9/23/22, 7:01:00 AM,C,22
9/23/22, 7:16:00 AM,C,22
9/23/22, 7:31:00 AM,C,22.5
9/23/22, 7:46:00 AM,C,22.5
9/23/22, 8:01:00 AM,C,22.5
9/23/22, 8:16:00 AM,C,22.5
9/23/22, 8:31:00 AM,C,22.5
9/23/22, 8:46:00 AM,C,22.5
9/23/22, 9:01:00 AM,C,23
9/23/22, 9:16:00 AM,C,23
9/23/22, 9:31:00 AM,C,23
9/23/22, 9:46:00 AM,C,23.5
