1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8A0000005BFBE521
Is Mission Active?  true
Mission Start:  Wed Apr 13 16:49:00 GMT+08:00 2022
Sample Rate:  Every 15 minute(s)
Number of Mission Samples:  2691
Total Samples:  5183
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
30/4/2022, 1:49:00 pm,C,22
30/4/2022, 2:04:00 pm,C,22
30/4/2022, 2:19:00 pm,C,22
30/4/2022, 2:34:00 pm,C,22
30/4/2022, 2:49:00 pm,C,22
30/4/2022, 3:04:00 pm,C,22
30/4/2022, 3:19:00 pm,C,22
30/4/2022, 3:34:00 pm,C,22
30/4/2022, 3:49:00 pm,C,22
30/4/2022, 4:04:00 pm,C,22
30/4/2022, 4:19:00 pm,C,22
30/4/2022, 4:34:00 pm,C,22
30/4/2022, 4:49:00 pm,C,22
30/4/2022, 5:04:00 pm,C,21.5
30/4/2022, 5:19:00 pm,C,21.5
30/4/2022, 5:34:00 pm,C,21.5
30/4/2022, 5:49:00 pm,C,21.5
30/4/2022, 6:04:00 pm,C,21.5
30/4/2022, 6:19:00 pm,C,21.5
30/4/2022, 6:34:00 pm,C,21.5
30/4/2022, 6:49:00 pm,C,21.5
30/4/2022, 7:04:00 pm,C,21.5
30/4/2022, 7:19:00 pm,C,21.5
30/4/2022, 7:34:00 pm,C,21.5
30/4/2022, 7:49:00 pm,C,21.5
30/4/2022, 8:04:00 pm,C,21.5
30/4/2022, 8:19:00 pm,C,21
30/4/2022, 8:34:00 pm,C,21
30/4/2022, 8:49:00 pm,C,21
30/4/2022, 9:04:00 pm,C,21
30/4/2022, 9:19:00 pm,C,21
30/4/2022, 9:34:00 pm,C,21
30/4/2022, 9:49:00 pm,C,21
30/4/2022, 10:04:00 pm,C,21
30/4/2022, 10:19:00 pm,C,21
30/4/2022, 10:34:00 pm,C,21
30/4/2022, 10:49:00 pm,C,21
30/4/2022, 11:04:00 pm,C,21
30/4/2022, 11:19:00 pm,C,21
30/4/2022, 11:34:00 pm,C,21
30/4/2022, 11:49:00 pm,C,21
1/5/2022, 12:04:00 am,C,21
1/5/2022, 12:19:00 am,C,21
1/5/2022, 12:34:00 am,C,21
1/5/2022, 12:49:00 am,C,21
1/5/2022, 1:04:00 am,C,21
1/5/2022, 1:19:00 am,C,21
1/5/2022, 1:34:00 am,C,21
1/5/2022, 1:49:00 am,C,21
1/5/2022, 2:04:00 am,C,21
1/5/2022, 2:19:00 am,C,21
1/5/2022, 2:34:00 am,C,21
1/5/2022, 2:49:00 am,C,21
1/5/2022, 3:04:00 am,C,21
1/5/2022, 3:19:00 am,C,21
1/5/2022, 3:34:00 am,C,21
1/5/2022, 3:49:00 am,C,21
1/5/2022, 4:04:00 am,C,21
1/5/2022, 4:19:00 am,C,21
1/5/2022, 4:34:00 am,C,21
1/5/2022, 4:49:00 am,C,21
1/5/2022, 5:04:00 am,C,21
1/5/2022, 5:19:00 am,C,21
1/5/2022, 5:34:00 am,C,20.5
1/5/2022, 5:49:00 am,C,20.5
1/5/2022, 6:04:00 am,C,20.5
1/5/2022, 6:19:00 am,C,20.5
1/5/2022, 6:34:00 am,C,20.5
1/5/2022, 6:49:00 am,C,20.5
1/5/2022, 7:04:00 am,C,20.5
1/5/2022, 7:19:00 am,C,20.5
1/5/2022, 7:34:00 am,C,20
1/5/2022, 7:49:00 am,C,19.5
1/5/2022, 8:04:00 am,C,19.5
1/5/2022, 8:19:00 am,C,19.5
1/5/2022, 8:34:00 am,C,19.5
1/5/2022, 8:49:00 am,C,19
1/5/2022, 9:04:00 am,C,19
1/5/2022, 9:19:00 am,C,19.5
1/5/2022, 9:34:00 am,C,19.5
1/5/2022, 9:49:00 am,C,19
1/5/2022, 10:04:00 am,C,19.5
1/5/2022, 10:19:00 am,C,19.5
1/5/2022, 10:34:00 am,C,19
1/5/2022, 10:49:00 am,C,19
1/5/2022, 11:04:00 am,C,19
1/5/2022, 11:19:00 am,C,18.5
1/5/2022, 11:34:00 am,C,18.5
1/5/2022, 11:49:00 am,C,18.5
1/5/2022, 12:04:00 pm,C,18.5
1/5/2022, 12:19:00 pm,C,18
1/5/2022, 12:34:00 pm,C,18
1/5/2022, 12:49:00 pm,C,18
1/5/2022, 1:04:00 pm,C,17.5
1/5/2022, 1:19:00 pm,C,17
1/5/2022, 1:34:00 pm,C,17
1/5/2022, 1:49:00 pm,C,17
1/5/2022, 2:04:00 pm,C,17
1/5/2022, 2:19:00 pm,C,17
1/5/2022, 2:34:00 pm,C,17
1/5/2022, 2:49:00 pm,C,17
1/5/2022, 3:04:00 pm,C,17
1/5/2022, 3:19:00 pm,C,17
1/5/2022, 3:34:00 pm,C,17
1/5/2022, 3:49:00 pm,C,17
1/5/2022, 4:04:00 pm,C,16.5
1/5/2022, 4:19:00 pm,C,16.5
1/5/2022, 4:34:00 pm,C,16.5
1/5/2022, 4:49:00 pm,C,16.5
1/5/2022, 5:04:00 pm,C,17
1/5/2022, 5:19:00 pm,C,17
1/5/2022, 5:34:00 pm,C,17
1/5/2022, 5:49:00 pm,C,16.5
1/5/2022, 6:04:00 pm,C,16
1/5/2022, 6:19:00 pm,C,16
1/5/2022, 6:34:00 pm,C,16
1/5/2022, 6:49:00 pm,C,15.5
1/5/2022, 7:04:00 pm,C,15.5
1/5/2022, 7:19:00 pm,C,16
1/5/2022, 7:34:00 pm,C,16.5
1/5/2022, 7:49:00 pm,C,16.5
1/5/2022, 8:04:00 pm,C,16
1/5/2022, 8:19:00 pm,C,16
1/5/2022, 8:34:00 pm,C,16
1/5/2022, 8:49:00 pm,C,16
1/5/2022, 9:04:00 pm,C,16
1/5/2022, 9:19:00 pm,C,16
1/5/2022, 9:34:00 pm,C,15.5
1/5/2022, 9:49:00 pm,C,15.5
1/5/2022, 10:04:00 pm,C,15.5
1/5/2022, 10:19:00 pm,C,15.5
1/5/2022, 10:34:00 pm,C,15.5
1/5/2022, 10:49:00 pm,C,15.5
1/5/2022, 11:04:00 pm,C,15.5
1/5/2022, 11:19:00 pm,C,15
1/5/2022, 11:34:00 pm,C,15.5
1/5/2022, 11:49:00 pm,C,15
2/5/2022, 12:04:00 am,C,15
2/5/2022, 12:19:00 am,C,15
2/5/2022, 12:34:00 am,C,15
2/5/2022, 12:49:00 am,C,15
2/5/2022, 1:04:00 am,C,15
2/5/2022, 1:19:00 am,C,15
2/5/2022, 1:34:00 am,C,14.5
2/5/2022, 1:49:00 am,C,14.5
2/5/2022, 2:04:00 am,C,14.5
2/5/2022, 2:19:00 am,C,14.5
2/5/2022, 2:34:00 am,C,14.5
2/5/2022, 2:49:00 am,C,14.5
2/5/2022, 3:04:00 am,C,14.5
2/5/2022, 3:19:00 am,C,14.5
2/5/2022, 3:34:00 am,C,14.5
2/5/2022, 3:49:00 am,C,14.5
2/5/2022, 4:04:00 am,C,14.5
2/5/2022, 4:19:00 am,C,14.5
2/5/2022, 4:34:00 am,C,14
2/5/2022, 4:49:00 am,C,14
2/5/2022, 5:04:00 am,C,14
2/5/2022, 5:19:00 am,C,14
2/5/2022, 5:34:00 am,C,14
2/5/2022, 5:49:00 am,C,14
2/5/2022, 6:04:00 am,C,14
2/5/2022, 6:19:00 am,C,14
2/5/2022, 6:34:00 am,C,14
2/5/2022, 6:49:00 am,C,14
2/5/2022, 7:04:00 am,C,14
2/5/2022, 7:19:00 am,C,14
2/5/2022, 7:34:00 am,C,14
2/5/2022, 7:49:00 am,C,14
2/5/2022, 8:04:00 am,C,14
2/5/2022, 8:19:00 am,C,14
2/5/2022, 8:34:00 am,C,14
2/5/2022, 8:49:00 am,C,14
2/5/2022, 9:04:00 am,C,14
2/5/2022, 9:19:00 am,C,14
2/5/2022, 9:34:00 am,C,14.5
2/5/2022, 9:49:00 am,C,14
2/5/2022, 10:04:00 am,C,14
2/5/2022, 10:19:00 am,C,14
2/5/2022, 10:34:00 am,C,14.5
2/5/2022, 10:49:00 am,C,14.5
2/5/2022, 11:04:00 am,C,15
2/5/2022, 11:19:00 am,C,15.5
2/5/2022, 11:34:00 am,C,15.5
2/5/2022, 11:49:00 am,C,15.5
2/5/2022, 12:04:00 pm,C,16
2/5/2022, 12:19:00 pm,C,16
2/5/2022, 12:34:00 pm,C,16
2/5/2022, 12:49:00 pm,C,16
2/5/2022, 1:04:00 pm,C,16
2/5/2022, 1:19:00 pm,C,16
2/5/2022, 1:34:00 pm,C,16
2/5/2022, 1:49:00 pm,C,16.5
2/5/2022, 2:04:00 pm,C,16
2/5/2022, 2:19:00 pm,C,16
2/5/2022, 2:34:00 pm,C,16
2/5/2022, 2:49:00 pm,C,16
2/5/2022, 3:04:00 pm,C,16
2/5/2022, 3:19:00 pm,C,16
2/5/2022, 3:34:00 pm,C,16
2/5/2022, 3:49:00 pm,C,16
2/5/2022, 4:04:00 pm,C,15.5
2/5/2022, 4:19:00 pm,C,16
2/5/2022, 4:34:00 pm,C,15.5
2/5/2022, 4:49:00 pm,C,15.5
2/5/2022, 5:04:00 pm,C,16
2/5/2022, 5:19:00 pm,C,15.5
2/5/2022, 5:34:00 pm,C,15.5
2/5/2022, 5:49:00 pm,C,15.5
2/5/2022, 6:04:00 pm,C,15.5
2/5/2022, 6:19:00 pm,C,15.5
2/5/2022, 6:34:00 pm,C,15.5
2/5/2022, 6:49:00 pm,C,15.5
2/5/2022, 7:04:00 pm,C,15
2/5/2022, 7:19:00 pm,C,15
2/5/2022, 7:34:00 pm,C,15
2/5/2022, 7:49:00 pm,C,15
2/5/2022, 8:04:00 pm,C,15.5
2/5/2022, 8:19:00 pm,C,15.5
2/5/2022, 8:34:00 pm,C,15
2/5/2022, 8:49:00 pm,C,15
2/5/2022, 9:04:00 pm,C,15
2/5/2022, 9:19:00 pm,C,15
2/5/2022, 9:34:00 pm,C,15
2/5/2022, 9:49:00 pm,C,15
2/5/2022, 10:04:00 pm,C,15
2/5/2022, 10:19:00 pm,C,15
2/5/2022, 10:34:00 pm,C,15
2/5/2022, 10:49:00 pm,C,15
2/5/2022, 11:04:00 pm,C,15
2/5/2022, 11:19:00 pm,C,14.5
2/5/2022, 11:34:00 pm,C,14.5
2/5/2022, 11:49:00 pm,C,14.5
3/5/2022, 12:04:00 am,C,14.5
3/5/2022, 12:19:00 am,C,14.5
3/5/2022, 12:34:00 am,C,14.5
3/5/2022, 12:49:00 am,C,14.5
3/5/2022, 1:04:00 am,C,14.5
3/5/2022, 1:19:00 am,C,14.5
3/5/2022, 1:34:00 am,C,14.5
3/5/2022, 1:49:00 am,C,14.5
3/5/2022, 2:04:00 am,C,14.5
3/5/2022, 2:19:00 am,C,14.5
3/5/2022, 2:34:00 am,C,14.5
3/5/2022, 2:49:00 am,C,14.5
3/5/2022, 3:04:00 am,C,14.5
3/5/2022, 3:19:00 am,C,14.5
3/5/2022, 3:34:00 am,C,14
3/5/2022, 3:49:00 am,C,14
3/5/2022, 4:04:00 am,C,14
3/5/2022, 4:19:00 am,C,14.5
3/5/2022, 4:34:00 am,C,14.5
3/5/2022, 4:49:00 am,C,14.5
3/5/2022, 5:04:00 am,C,14
3/5/2022, 5:19:00 am,C,14
3/5/2022, 5:34:00 am,C,14
3/5/2022, 5:49:00 am,C,14
3/5/2022, 6:04:00 am,C,14
3/5/2022, 6:19:00 am,C,14
3/5/2022, 6:34:00 am,C,14
3/5/2022, 6:49:00 am,C,14
3/5/2022, 7:04:00 am,C,14
3/5/2022, 7:19:00 am,C,14.5
3/5/2022, 7:34:00 am,C,14.5
3/5/2022, 7:49:00 am,C,14.5
3/5/2022, 8:04:00 am,C,15
3/5/2022, 8:19:00 am,C,15
3/5/2022, 8:34:00 am,C,15
3/5/2022, 8:49:00 am,C,15.5
3/5/2022, 9:04:00 am,C,15.5
3/5/2022, 9:19:00 am,C,15.5
3/5/2022, 9:34:00 am,C,16
3/5/2022, 9:49:00 am,C,16
3/5/2022, 10:04:00 am,C,16
3/5/2022, 10:19:00 am,C,16
3/5/2022, 10:34:00 am,C,16
3/5/2022, 10:49:00 am,C,16
3/5/2022, 11:04:00 am,C,16.5
3/5/2022, 11:19:00 am,C,16.5
3/5/2022, 11:34:00 am,C,16.5
3/5/2022, 11:49:00 am,C,17
3/5/2022, 12:04:00 pm,C,17
3/5/2022, 12:19:00 pm,C,17
3/5/2022, 12:34:00 pm,C,17
3/5/2022, 12:49:00 pm,C,17
3/5/2022, 1:04:00 pm,C,17
3/5/2022, 1:19:00 pm,C,17
3/5/2022, 1:34:00 pm,C,17.5
3/5/2022, 1:49:00 pm,C,17.5
3/5/2022, 2:04:00 pm,C,17.5
3/5/2022, 2:19:00 pm,C,17.5
3/5/2022, 2:34:00 pm,C,17.5
3/5/2022, 2:49:00 pm,C,17.5
3/5/2022, 3:04:00 pm,C,17.5
3/5/2022, 3:19:00 pm,C,18
3/5/2022, 3:34:00 pm,C,18
3/5/2022, 3:49:00 pm,C,18
3/5/2022, 4:04:00 pm,C,18
3/5/2022, 4:19:00 pm,C,18
3/5/2022, 4:34:00 pm,C,18
3/5/2022, 4:49:00 pm,C,18
3/5/2022, 5:04:00 pm,C,18
3/5/2022, 5:19:00 pm,C,18
3/5/2022, 5:34:00 pm,C,18
3/5/2022, 5:49:00 pm,C,18
3/5/2022, 6:04:00 pm,C,18
3/5/2022, 6:19:00 pm,C,18
3/5/2022, 6:34:00 pm,C,18
3/5/2022, 6:49:00 pm,C,17.5
3/5/2022, 7:04:00 pm,C,17.5
3/5/2022, 7:19:00 pm,C,17
3/5/2022, 7:34:00 pm,C,17
3/5/2022, 7:49:00 pm,C,17
3/5/2022, 8:04:00 pm,C,17
3/5/2022, 8:19:00 pm,C,17
3/5/2022, 8:34:00 pm,C,17
3/5/2022, 8:49:00 pm,C,17
3/5/2022, 9:04:00 pm,C,17
3/5/2022, 9:19:00 pm,C,17
3/5/2022, 9:34:00 pm,C,17
3/5/2022, 9:49:00 pm,C,17
3/5/2022, 10:04:00 pm,C,17
3/5/2022, 10:19:00 pm,C,17
3/5/2022, 10:34:00 pm,C,17
3/5/2022, 10:49:00 pm,C,17
3/5/2022, 11:04:00 pm,C,17
3/5/2022, 11:19:00 pm,C,17
3/5/2022, 11:34:00 pm,C,16.5
3/5/2022, 11:49:00 pm,C,16.5
4/5/2022, 12:04:00 am,C,16.5
4/5/2022, 12:19:00 am,C,16.5
4/5/2022, 12:34:00 am,C,17
4/5/2022, 12:49:00 am,C,16.5
4/5/2022, 1:04:00 am,C,16.5
4/5/2022, 1:19:00 am,C,16.5
4/5/2022, 1:34:00 am,C,16.5
4/5/2022, 1:49:00 am,C,16
4/5/2022, 2:04:00 am,C,16
4/5/2022, 2:19:00 am,C,16.5
4/5/2022, 2:34:00 am,C,16.5
4/5/2022, 2:49:00 am,C,16.5
4/5/2022, 3:04:00 am,C,16
4/5/2022, 3:19:00 am,C,16
4/5/2022, 3:34:00 am,C,16
4/5/2022, 3:49:00 am,C,16
4/5/2022, 4:04:00 am,C,16
4/5/2022, 4:19:00 am,C,16
4/5/2022, 4:34:00 am,C,15.5
4/5/2022, 4:49:00 am,C,15.5
4/5/2022, 5:04:00 am,C,15.5
4/5/2022, 5:19:00 am,C,15.5
4/5/2022, 5:34:00 am,C,15.5
4/5/2022, 5:49:00 am,C,15.5
4/5/2022, 6:04:00 am,C,15.5
4/5/2022, 6:19:00 am,C,15.5
4/5/2022, 6:34:00 am,C,16
4/5/2022, 6:49:00 am,C,16
4/5/2022, 7:04:00 am,C,16
4/5/2022, 7:19:00 am,C,16
4/5/2022, 7:34:00 am,C,16
4/5/2022, 7:49:00 am,C,16.5
4/5/2022, 8:04:00 am,C,16.5
4/5/2022, 8:19:00 am,C,16.5
4/5/2022, 8:34:00 am,C,16.5
4/5/2022, 8:49:00 am,C,17
4/5/2022, 9:04:00 am,C,17
4/5/2022, 9:19:00 am,C,17
4/5/2022, 9:34:00 am,C,17
4/5/2022, 9:49:00 am,C,17
4/5/2022, 10:04:00 am,C,17.5
4/5/2022, 10:19:00 am,C,17.5
4/5/2022, 10:34:00 am,C,17.5
4/5/2022, 10:49:00 am,C,17.5
4/5/2022, 11:04:00 am,C,18
4/5/2022, 11:19:00 am,C,18
4/5/2022, 11:34:00 am,C,18
4/5/2022, 11:49:00 am,C,18.5
4/5/2022, 12:04:00 pm,C,18.5
4/5/2022, 12:19:00 pm,C,18.5
4/5/2022, 12:34:00 pm,C,18.5
4/5/2022, 12:49:00 pm,C,18.5
4/5/2022, 1:04:00 pm,C,18.5
4/5/2022, 1:19:00 pm,C,18.5
4/5/2022, 1:34:00 pm,C,18.5
4/5/2022, 1:49:00 pm,C,18.5
4/5/2022, 2:04:00 pm,C,18.5
4/5/2022, 2:19:00 pm,C,19
4/5/2022, 2:34:00 pm,C,19
4/5/2022, 2:49:00 pm,C,19
4/5/2022, 3:04:00 pm,C,19
4/5/2022, 3:19:00 pm,C,19
4/5/2022, 3:34:00 pm,C,19
4/5/2022, 3:49:00 pm,C,19
4/5/2022, 4:04:00 pm,C,19
4/5/2022, 4:19:00 pm,C,19
4/5/2022, 4:34:00 pm,C,19
4/5/2022, 4:49:00 pm,C,19
4/5/2022, 5:04:00 pm,C,19
4/5/2022, 5:19:00 pm,C,19
4/5/2022, 5:34:00 pm,C,19
4/5/2022, 5:49:00 pm,C,19
4/5/2022, 6:04:00 pm,C,19
4/5/2022, 6:19:00 pm,C,19
4/5/2022, 6:34:00 pm,C,19
4/5/2022, 6:49:00 pm,C,18.5
4/5/2022, 7:04:00 pm,C,18.5
4/5/2022, 7:19:00 pm,C,18.5
4/5/2022, 7:34:00 pm,C,18
4/5/2022, 7:49:00 pm,C,18
4/5/2022, 8:04:00 pm,C,18
4/5/2022, 8:19:00 pm,C,17.5
4/5/2022, 8:34:00 pm,C,17.5
4/5/2022, 8:49:00 pm,C,17.5
4/5/2022, 9:04:00 pm,C,17.5
4/5/2022, 9:19:00 pm,C,17.5
4/5/2022, 9:34:00 pm,C,17.5
4/5/2022, 9:49:00 pm,C,17.5
4/5/2022, 10:04:00 pm,C,17.5
4/5/2022, 10:19:00 pm,C,17.5
4/5/2022, 10:34:00 pm,C,17.5
4/5/2022, 10:49:00 pm,C,17.5
4/5/2022, 11:04:00 pm,C,17.5
4/5/2022, 11:19:00 pm,C,17.5
4/5/2022, 11:34:00 pm,C,17.5
4/5/2022, 11:49:00 pm,C,17.5
5/5/2022, 12:04:00 am,C,17.5
5/5/2022, 12:19:00 am,C,17.5
5/5/2022, 12:34:00 am,C,17.5
